project_id,project_name,project_type,implementing_agency,state,district,scenario,land_required_ha,land_to_acquire_ha,total_parcels,affected_families,vulnerable_families,date_initiation,terrain_type,urban_rural,forest_involved,proximity_km_to_urban
SYN-00140,Synthetic Urban Infrastructure Project 00140,Urban Infrastructure,Railway,Jharkhand,JHA-08,COMPENSATION_DELAY,23.289,19.3121,183,98,13,2021-12-15,Rolling,Rural,1,40.868
SYN-00141,Synthetic Urban Infrastructure Project 00141,Urban Infrastructure,NHIDCL,Assam,ASS-17,NORMAL,24.21,18.6814,146,54,5,2024-03-25,Plain,Rural,0,2.283
SYN-00142,Synthetic Irrigation Project 00142,Irrigation,State PWD,West Bengal,WES-04,RNR_DELAY,26.9215,21.2606,347,117,22,2019-02-03,Rolling,Urban,0,77.878
SYN-00143,Synthetic Irrigation Project 00143,Irrigation,State PWD,Madhya Pradesh,MAD-33,ADMINISTRATIVE_BOTTLENECK,5.6767,3.7312,69,25,4,2020-06-08,Plain,Semi-Urban,0,73.32
SYN-00144,Synthetic Urban Infrastructure Project 00144,Urban Infrastructure,State PWD,Madhya Pradesh,MAD-05,NORMAL,17.8878,12.1896,299,89,16,2022-03-22,Riverine,Rural,0,47.234
SYN-00145,Synthetic Industrial Corridor Project 00145,Industrial Corridor,State PWD,Assam,ASS-02,NORMAL,35.1538,26.2054,209,51,11,2019-03-02,Plain,Semi-Urban,0,27.219
SYN-00146,Synthetic Railway Project 00146,Railway,NHIDCL,Maharashtra,MAH-29,NORMAL,25.1653,21.5574,298,230,17,2019-04-27,Coastal,Rural,0,53.822
SYN-00147,Synthetic Irrigation Project 00147,Irrigation,NHIDCL,Jharkhand,JHA-17,MULTI_FACTOR_DELAY,21.2405,17.904,197,157,18,2019-01-28,Coastal,Urban,0,52.156
SYN-00148,Synthetic Railway Project 00148,Railway,NHIDCL,West Bengal,WES-16,NORMAL,20.121,15.6614,349,186,37,2021-05-26,Riverine,Semi-Urban,0,23.825
SYN-00149,Synthetic Urban Infrastructure Project 00149,Urban Infrastructure,NHIDCL,Bihar,BIH-09,RECOVERY,65.5349,57.5256,447,266,21,2022-01-18,Hilly,Semi-Urban,0,64.726
SYN-00150,Synthetic Urban Infrastructure Project 00150,Urban Infrastructure,Power Utility,Maharashtra,MAH-13,NORMAL,10.8006,8.2641,120,31,2,2020-02-06,Plain,Urban,0,31.193
SYN-00151,Synthetic Transmission Project 00151,Transmission,State PWD,Assam,ASS-05,MULTI_FACTOR_DELAY,5.0,4.4528,89,20,6,2021-02-25,Rolling,Semi-Urban,0,35.343
SYN-00152,Synthetic Urban Infrastructure Project 00152,Urban Infrastructure,State PWD,Uttar Pradesh,UTT-27,NORMAL,31.4423,24.4354,564,381,62,2019-07-31,Coastal,Rural,0,5.443
SYN-00153,Synthetic Irrigation Project 00153,Irrigation,Irrigation Department,Uttar Pradesh,UTT-11,NORMAL,34.6675,24.8667,332,251,30,2019-06-01,Hilly,Rural,0,57.954
SYN-00154,Synthetic Railway Project 00154,Railway,State PWD,Assam,ASS-27,DOCUMENTATION_DELAY,17.5944,11.5012,259,170,22,2024-01-23,Hilly,Rural,0,29.014
SYN-00155,Synthetic Transmission Project 00155,Transmission,NHIDCL,Bihar,BIH-39,NORMAL,14.3851,10.0673,237,162,19,2024-04-21,Rolling,Urban,0,0.713
SYN-00156,Synthetic Railway Project 00156,Railway,Railway,Odisha,ODI-32,NORMAL,27.5277,22.1018,298,141,15,2019-02-03,Hilly,Rural,0,1.205
SYN-00157,Synthetic Irrigation Project 00157,Irrigation,Power Utility,Madhya Pradesh,MAD-30,NORMAL,10.3032,6.762,156,124,28,2024-09-02,Rolling,Semi-Urban,0,78.417
SYN-00158,Synthetic Railway Project 00158,Railway,NHAI,West Bengal,WES-30,DOCUMENTATION_DELAY,22.2511,19.4289,237,91,8,2022-11-18,Rolling,Semi-Urban,0,32.277
SYN-00159,Synthetic Urban Infrastructure Project 00159,Urban Infrastructure,NHIDCL,Bihar,BIH-21,DOCUMENTATION_DELAY,61.3334,38.2969,1178,269,55,2024-03-26,Rolling,Semi-Urban,0,63.444
SYN-00160,Synthetic National Highway Project 00160,National Highway,Irrigation Department,Assam,ASS-31,RNR_DELAY,28.7903,26.5215,226,54,13,2022-09-28,Rolling,Rural,0,71.653
SYN-00161,Synthetic National Highway Project 00161,National Highway,Railway,Uttar Pradesh,UTT-11,NORMAL,6.9349,6.2173,65,50,6,2019-11-16,Plain,Rural,1,57.985
SYN-00162,Synthetic Transmission Project 00162,Transmission,NHIDCL,Odisha,ODI-18,COMPENSATION_DELAY,6.9994,5.2367,82,40,6,2021-01-08,Riverine,Semi-Urban,0,15.51
SYN-00163,Synthetic Railway Project 00163,Railway,Railway,Odisha,ODI-31,LEGAL_DELAY,70.4203,64.9544,1142,286,82,2020-11-27,Riverine,Rural,1,14.959
SYN-00164,Synthetic Urban Infrastructure Project 00164,Urban Infrastructure,Power Utility,Bihar,BIH-27,LEGAL_DELAY,18.0019,11.3356,271,194,37,2021-04-12,Rolling,Rural,0,23.742
SYN-00165,Synthetic National Highway Project 00165,National Highway,NHAI,Assam,ASS-06,COMPENSATION_DELAY,30.5463,27.4117,526,277,25,2022-01-15,Plain,Rural,0,40.118
SYN-00166,Synthetic Transmission Project 00166,Transmission,Irrigation Department,Assam,ASS-39,NORMAL,19.5432,12.1221,144,94,16,2020-05-31,Coastal,Rural,1,29.266
SYN-00167,Synthetic Irrigation Project 00167,Irrigation,NHAI,Uttar Pradesh,UTT-07,ADMINISTRATIVE_BOTTLENECK,52.0256,47.8545,384,211,50,2021-06-05,Plain,Rural,0,7.089
SYN-00168,Synthetic Industrial Corridor Project 00168,Industrial Corridor,NHIDCL,Jharkhand,JHA-25,NORMAL,60.8171,55.2782,436,161,37,2022-05-09,Hilly,Semi-Urban,1,16.992
SYN-00169,Synthetic Irrigation Project 00169,Irrigation,NHAI,West Bengal,WES-26,NORMAL,16.6723,10.5067,90,43,3,2025-01-02,Hilly,Rural,0,43.268
SYN-00170,Synthetic National Highway Project 00170,National Highway,Power Utility,Assam,ASS-01,DOCUMENTATION_DELAY,12.8174,9.1017,180,65,19,2019-07-25,Coastal,Rural,0,8.423
SYN-00171,Synthetic Transmission Project 00171,Transmission,Irrigation Department,Madhya Pradesh,MAD-39,MULTI_FACTOR_DELAY,20.0393,18.6262,385,148,34,2022-05-04,Hilly,Semi-Urban,0,55.736
SYN-00172,Synthetic Urban Infrastructure Project 00172,Urban Infrastructure,Irrigation Department,Maharashtra,MAH-18,DOCUMENTATION_DELAY,10.4568,8.9524,163,34,4,2025-03-30,Coastal,Rural,1,53.351
SYN-00173,Synthetic Transmission Project 00173,Transmission,NHAI,Maharashtra,MAH-37,RECOVERY,44.0491,38.6952,797,418,108,2020-01-23,Riverine,Urban,0,13.964
SYN-00174,Synthetic Irrigation Project 00174,Irrigation,NHAI,Odisha,ODI-05,RECOVERY,28.6089,24.631,536,194,30,2022-02-20,Riverine,Urban,0,72.892
SYN-00175,Synthetic Industrial Corridor Project 00175,Industrial Corridor,Power Utility,Jharkhand,JHA-32,NORMAL,13.3368,12.7014,190,99,14,2021-08-13,Hilly,Urban,0,78.742
SYN-00176,Synthetic National Highway Project 00176,National Highway,Irrigation Department,Jharkhand,JHA-36,NORMAL,13.7811,12.023,162,54,5,2025-03-24,Plain,Semi-Urban,0,41.077
SYN-00177,Synthetic Railway Project 00177,Railway,NHIDCL,Odisha,ODI-28,NORMAL,6.0313,4.5008,87,34,7,2025-07-30,Rolling,Rural,0,32.647
SYN-00178,Synthetic Transmission Project 00178,Transmission,NHAI,Assam,ASS-11,MULTI_FACTOR_DELAY,27.0806,21.4964,453,352,71,2024-10-06,Coastal,Rural,1,78.776
SYN-00179,Synthetic National Highway Project 00179,National Highway,NHAI,Uttar Pradesh,UTT-04,NORMAL,11.2188,7.4585,193,51,12,2019-06-20,Hilly,Rural,0,45.253
SYN-00180,Synthetic Transmission Project 00180,Transmission,Irrigation Department,Bihar,BIH-05,DOCUMENTATION_DELAY,12.8538,12.6895,194,107,16,2025-11-19,Plain,Rural,0,26.674
SYN-00181,Synthetic Irrigation Project 00181,Irrigation,State PWD,West Bengal,WES-01,RECOVERY,8.8225,6.8926,113,42,4,2020-09-13,Rolling,Rural,0,40.787
SYN-00182,Synthetic Transmission Project 00182,Transmission,Railway,Jharkhand,JHA-06,NORMAL,51.0778,40.0041,696,428,96,2023-07-18,Plain,Rural,0,56.761
SYN-00183,Synthetic Industrial Corridor Project 00183,Industrial Corridor,Railway,West Bengal,WES-30,NORMAL,31.4262,30.4305,360,154,32,2020-08-20,Hilly,Urban,0,37.969
SYN-00184,Synthetic National Highway Project 00184,National Highway,NHAI,West Bengal,WES-37,NORMAL,35.872,32.1046,215,70,12,2025-08-27,Riverine,Semi-Urban,0,28.45
SYN-00185,Synthetic Transmission Project 00185,Transmission,NHIDCL,Maharashtra,MAH-26,NORMAL,22.6593,13.8681,127,68,17,2024-12-30,Hilly,Urban,0,15.405
SYN-00186,Synthetic Transmission Project 00186,Transmission,State PWD,Odisha,ODI-23,DOCUMENTATION_DELAY,87.5888,77.8942,1640,834,81,2019-08-19,Riverine,Rural,0,50.674
SYN-00187,Synthetic Irrigation Project 00187,Irrigation,Power Utility,Odisha,ODI-28,DOCUMENTATION_DELAY,6.6242,5.3364,87,60,9,2024-11-05,Plain,Semi-Urban,0,27.8
SYN-00188,Synthetic Irrigation Project 00188,Irrigation,NHAI,Odisha,ODI-18,MULTI_FACTOR_DELAY,28.2585,17.1816,144,91,6,2025-01-19,Riverine,Rural,0,77.374
SYN-00189,Synthetic Urban Infrastructure Project 00189,Urban Infrastructure,NHIDCL,Maharashtra,MAH-24,NORMAL,37.5689,30.5201,238,133,25,2020-01-28,Coastal,Rural,0,51.534
SYN-00190,Synthetic Urban Infrastructure Project 00190,Urban Infrastructure,NHIDCL,Uttar Pradesh,UTT-17,LEGAL_DELAY,18.5368,12.0548,263,114,11,2021-10-17,Rolling,Rural,0,34.144
SYN-00191,Synthetic Railway Project 00191,Railway,NHAI,Maharashtra,MAH-09,DOCUMENTATION_DELAY,45.8219,41.8112,264,117,14,2021-12-25,Hilly,Semi-Urban,0,59.565
SYN-00192,Synthetic Urban Infrastructure Project 00192,Urban Infrastructure,NHAI,West Bengal,WES-18,COMPENSATION_DELAY,5.0,4.2547,50,13,1,2024-04-30,Coastal,Urban,0,38.733
SYN-00193,Synthetic Urban Infrastructure Project 00193,Urban Infrastructure,Power Utility,Jharkhand,JHA-28,DOCUMENTATION_DELAY,17.8321,14.218,238,59,5,2020-11-16,Riverine,Urban,0,46.896
SYN-00194,Synthetic Irrigation Project 00194,Irrigation,NHIDCL,Bihar,BIH-12,NORMAL,15.0326,12.2235,283,63,4,2021-10-04,Coastal,Rural,0,76.118
SYN-00195,Synthetic Urban Infrastructure Project 00195,Urban Infrastructure,Railway,Uttar Pradesh,UTT-38,RNR_DELAY,52.1146,47.0109,496,259,23,2020-02-21,Plain,Urban,0,47.621
SYN-00196,Synthetic Urban Infrastructure Project 00196,Urban Infrastructure,Power Utility,Bihar,BIH-03,NORMAL,14.0638,8.6113,241,175,30,2022-04-30,Coastal,Rural,0,15.42
SYN-00197,Synthetic Industrial Corridor Project 00197,Industrial Corridor,Railway,West Bengal,WES-20,DOCUMENTATION_DELAY,46.003,37.9604,870,468,109,2025-04-22,Hilly,Semi-Urban,0,38.896
SYN-00198,Synthetic Industrial Corridor Project 00198,Industrial Corridor,NHAI,Jharkhand,JHA-17,RECOVERY,165.4582,127.8964,2596,587,77,2023-08-07,Hilly,Rural,0,50.405
SYN-00199,Synthetic Industrial Corridor Project 00199,Industrial Corridor,NHAI,Jharkhand,JHA-17,ADMINISTRATIVE_BOTTLENECK,15.0409,12.6104,263,81,4,2024-04-07,Riverine,Semi-Urban,0,6.571
SYN-00200,Synthetic Railway Project 00200,Railway,NHIDCL,Odisha,ODI-35,NORMAL,19.1868,12.8039,303,196,19,2019-06-16,Hilly,Semi-Urban,0,7.838
SYN-00201,Synthetic Industrial Corridor Project 00201,Industrial Corridor,Irrigation Department,Assam,ASS-23,RNR_DELAY,12.0879,8.2923,183,47,7,2022-02-14,Coastal,Semi-Urban,1,64.149
SYN-00202,Synthetic Transmission Project 00202,Transmission,NHIDCL,Assam,ASS-29,DOCUMENTATION_DELAY,7.5037,6.1187,40,18,5,2024-10-21,Riverine,Rural,0,14.91
SYN-00203,Synthetic Transmission Project 00203,Transmission,State PWD,Assam,ASS-30,NORMAL,24.2613,19.2187,451,178,52,2020-08-26,Coastal,Rural,0,31.94
SYN-00204,Synthetic Urban Infrastructure Project 00204,Urban Infrastructure,NHIDCL,Maharashtra,MAH-36,MULTI_FACTOR_DELAY,26.5491,21.3994,145,31,5,2021-08-07,Hilly,Urban,0,59.989
SYN-00205,Synthetic Irrigation Project 00205,Irrigation,NHAI,Madhya Pradesh,MAD-26,NORMAL,10.7406,8.6571,139,37,8,2020-12-17,Riverine,Semi-Urban,0,2.841
SYN-00206,Synthetic Urban Infrastructure Project 00206,Urban Infrastructure,NHIDCL,Uttar Pradesh,UTT-05,NORMAL,9.5666,8.3499,68,32,4,2024-12-02,Coastal,Urban,0,9.587
SYN-00207,Synthetic Railway Project 00207,Railway,Railway,Jharkhand,JHA-11,COMPENSATION_DELAY,82.4978,54.8457,1165,622,152,2021-04-13,Plain,Rural,0,24.938
SYN-00208,Synthetic Industrial Corridor Project 00208,Industrial Corridor,Railway,Bihar,BIH-38,NORMAL,67.0042,42.1492,718,370,71,2021-06-02,Coastal,Rural,0,5.544
SYN-00209,Synthetic Industrial Corridor Project 00209,Industrial Corridor,Railway,Uttar Pradesh,UTT-09,NORMAL,5.0,3.4546,95,44,2,2023-03-11,Riverine,Rural,0,39.469
SYN-00210,Synthetic National Highway Project 00210,National Highway,NHAI,Bihar,BIH-23,NORMAL,44.1865,33.83,855,443,58,2020-11-25,Coastal,Semi-Urban,1,22.253
SYN-00211,Synthetic Railway Project 00211,Railway,NHAI,West Bengal,WES-13,NORMAL,33.7026,23.7993,620,463,48,2019-10-13,Riverine,Rural,0,18.424
SYN-00212,Synthetic Industrial Corridor Project 00212,Industrial Corridor,Railway,Madhya Pradesh,MAD-29,RNR_DELAY,19.5782,18.223,129,63,6,2022-06-04,Riverine,Semi-Urban,0,41.512
SYN-00213,Synthetic Industrial Corridor Project 00213,Industrial Corridor,NHIDCL,West Bengal,WES-39,LEGAL_DELAY,5.0,4.4009,53,37,4,2024-05-12,Hilly,Urban,0,19.93
SYN-00214,Synthetic Transmission Project 00214,Transmission,NHAI,Madhya Pradesh,MAD-02,MULTI_FACTOR_DELAY,26.4347,25.1807,451,298,53,2021-04-25,Rolling,Rural,0,14.791
SYN-00215,Synthetic Railway Project 00215,Railway,Irrigation Department,Assam,ASS-33,MULTI_FACTOR_DELAY,58.8944,52.4956,346,80,11,2024-03-31,Coastal,Rural,0,60.231
SYN-00216,Synthetic Urban Infrastructure Project 00216,Urban Infrastructure,Irrigation Department,Madhya Pradesh,MAD-36,NORMAL,7.9139,7.604,50,22,3,2020-12-22,Riverine,Urban,0,61.553
SYN-00217,Synthetic Urban Infrastructure Project 00217,Urban Infrastructure,NHAI,Maharashtra,MAH-29,NORMAL,36.1487,25.328,372,163,35,2019-02-17,Rolling,Semi-Urban,1,62.452
SYN-00218,Synthetic Transmission Project 00218,Transmission,NHIDCL,Maharashtra,MAH-33,NORMAL,17.7672,12.0418,134,104,7,2023-10-25,Coastal,Rural,0,20.76
SYN-00219,Synthetic Irrigation Project 00219,Irrigation,NHIDCL,Assam,ASS-02,NORMAL,12.9489,10.4763,203,75,11,2024-03-23,Plain,Rural,0,68.484
SYN-00220,Synthetic Railway Project 00220,Railway,NHIDCL,Bihar,BIH-20,COMPENSATION_DELAY,9.7766,8.1219,75,41,12,2022-01-06,Plain,Semi-Urban,0,16.521
SYN-00221,Synthetic Industrial Corridor Project 00221,Industrial Corridor,State PWD,Jharkhand,JHA-18,NORMAL,73.3149,68.5967,627,367,86,2021-03-28,Hilly,Rural,0,68.604
SYN-00222,Synthetic Railway Project 00222,Railway,Railway,Assam,ASS-06,NORMAL,42.0926,31.0132,652,277,72,2024-03-14,Hilly,Rural,1,73.077
SYN-00223,Synthetic Irrigation Project 00223,Irrigation,Railway,Assam,ASS-38,NORMAL,10.6642,6.7925,67,21,3,2025-05-06,Rolling,Urban,0,71.395
SYN-00224,Synthetic Railway Project 00224,Railway,NHIDCL,Bihar,BIH-15,NORMAL,37.0663,27.7751,481,329,91,2020-07-13,Plain,Urban,0,51.958
SYN-00225,Synthetic National Highway Project 00225,National Highway,Railway,Odisha,ODI-03,NORMAL,29.5906,29.4816,215,79,9,2024-05-02,Riverine,Semi-Urban,1,51.748
SYN-00226,Synthetic National Highway Project 00226,National Highway,NHAI,Jharkhand,JHA-23,ADMINISTRATIVE_BOTTLENECK,8.0196,7.7912,94,36,7,2022-12-13,Riverine,Rural,0,45.851
SYN-00227,Synthetic National Highway Project 00227,National Highway,Power Utility,Bihar,BIH-31,RNR_DELAY,31.0471,19.3223,204,106,11,2023-07-23,Coastal,Rural,0,38.273
SYN-00228,Synthetic Irrigation Project 00228,Irrigation,Railway,Maharashtra,MAH-11,NORMAL,15.2943,12.8168,285,152,44,2023-01-23,Hilly,Rural,1,4.296
SYN-00229,Synthetic National Highway Project 00229,National Highway,State PWD,Uttar Pradesh,UTT-09,RECOVERY,8.6109,6.7367,151,116,15,2021-08-18,Coastal,Rural,0,49.493
SYN-00230,Synthetic Urban Infrastructure Project 00230,Urban Infrastructure,Power Utility,Maharashtra,MAH-15,RNR_DELAY,125.2732,112.4377,676,376,53,2020-03-11,Riverine,Rural,0,42.179
SYN-00231,Synthetic Transmission Project 00231,Transmission,Railway,Bihar,BIH-02,DOCUMENTATION_DELAY,38.1131,30.2804,251,64,11,2020-04-02,Plain,Semi-Urban,0,55.994
SYN-00232,Synthetic Industrial Corridor Project 00232,Industrial Corridor,Power Utility,Jharkhand,JHA-32,NORMAL,41.4296,25.1128,491,273,33,2025-08-05,Coastal,Semi-Urban,0,40.587
SYN-00233,Synthetic Irrigation Project 00233,Irrigation,State PWD,Uttar Pradesh,UTT-15,ADMINISTRATIVE_BOTTLENECK,17.4184,11.5248,88,48,6,2023-03-28,Coastal,Rural,0,52.075
SYN-00234,Synthetic Transmission Project 00234,Transmission,NHIDCL,Bihar,BIH-14,NORMAL,50.2134,32.2309,347,92,6,2024-02-26,Coastal,Urban,0,49.88
SYN-00235,Synthetic Industrial Corridor Project 00235,Industrial Corridor,Railway,Maharashtra,MAH-39,NORMAL,11.6656,10.7865,65,20,5,2025-05-05,Rolling,Rural,0,67.941
SYN-00236,Synthetic Railway Project 00236,Railway,NHAI,Madhya Pradesh,MAD-33,LEGAL_DELAY,11.6751,8.4387,163,96,6,2024-08-24,Plain,Semi-Urban,0,11.943
SYN-00237,Synthetic Transmission Project 00237,Transmission,NHIDCL,Madhya Pradesh,MAD-03,NORMAL,19.4459,13.7399,343,129,10,2025-11-20,Coastal,Rural,0,5.558
SYN-00238,Synthetic Industrial Corridor Project 00238,Industrial Corridor,Power Utility,Bihar,BIH-28,RNR_DELAY,62.6389,51.7263,982,199,22,2020-10-18,Rolling,Rural,0,73.1
SYN-00239,Synthetic Irrigation Project 00239,Irrigation,Irrigation Department,West Bengal,WES-27,NORMAL,9.4482,6.5185,162,79,14,2025-05-23,Plain,Semi-Urban,0,48.813
SYN-00240,Synthetic Industrial Corridor Project 00240,Industrial Corridor,Railway,West Bengal,WES-14,MULTI_FACTOR_DELAY,32.998,32.6905,625,408,89,2021-07-23,Rolling,Rural,0,42.301
SYN-00241,Synthetic Urban Infrastructure Project 00241,Urban Infrastructure,Irrigation Department,Bihar,BIH-12,COMPENSATION_DELAY,17.7796,14.2873,101,66,13,2024-02-06,Plain,Semi-Urban,0,9.69
SYN-00242,Synthetic Railway Project 00242,Railway,Power Utility,Jharkhand,JHA-27,NORMAL,5.0,3.2613,73,51,13,2024-12-01,Plain,Rural,0,53.314
SYN-00243,Synthetic National Highway Project 00243,National Highway,NHIDCL,Bihar,BIH-22,LEGAL_DELAY,11.0887,8.7574,115,54,5,2021-07-21,Plain,Rural,0,7.042
SYN-00244,Synthetic National Highway Project 00244,National Highway,NHAI,Maharashtra,MAH-09,COMPENSATION_DELAY,68.3636,62.4074,966,219,21,2020-10-30,Coastal,Urban,1,43.674
SYN-00245,Synthetic Irrigation Project 00245,Irrigation,Power Utility,West Bengal,WES-37,NORMAL,42.5431,39.3628,303,175,36,2021-12-25,Rolling,Urban,0,29.475
SYN-00246,Synthetic Transmission Project 00246,Transmission,NHAI,Odisha,ODI-15,NORMAL,12.3575,8.726,149,109,24,2023-04-29,Plain,Semi-Urban,0,0.759
SYN-00247,Synthetic Irrigation Project 00247,Irrigation,NHAI,Odisha,ODI-07,LEGAL_DELAY,21.5575,15.6909,223,158,22,2024-08-20,Riverine,Rural,0,52.722
SYN-00248,Synthetic Urban Infrastructure Project 00248,Urban Infrastructure,NHAI,Maharashtra,MAH-39,MULTI_FACTOR_DELAY,13.0991,9.9631,201,107,28,2024-02-04,Riverine,Semi-Urban,0,46.975
SYN-00249,Synthetic Industrial Corridor Project 00249,Industrial Corridor,Power Utility,Bihar,BIH-21,NORMAL,12.5448,10.8419,106,79,18,2020-04-08,Coastal,Semi-Urban,0,49.65
SYN-00250,Synthetic Transmission Project 00250,Transmission,Irrigation Department,Madhya Pradesh,MAD-14,LEGAL_DELAY,7.0233,4.3397,101,48,6,2024-05-02,Plain,Rural,0,69.296
SYN-00251,Synthetic National Highway Project 00251,National Highway,NHIDCL,Bihar,BIH-38,NORMAL,23.4676,19.1649,305,114,31,2024-12-09,Hilly,Semi-Urban,0,34.515
SYN-00252,Synthetic Irrigation Project 00252,Irrigation,Irrigation Department,Madhya Pradesh,MAD-20,RECOVERY,19.7099,11.8711,255,123,31,2023-01-11,Plain,Urban,0,6.093
SYN-00253,Synthetic Industrial Corridor Project 00253,Industrial Corridor,NHIDCL,Jharkhand,JHA-20,NORMAL,20.9082,12.7708,232,97,15,2019-01-16,Hilly,Semi-Urban,0,56.625
SYN-00254,Synthetic Railway Project 00254,Railway,Power Utility,Jharkhand,JHA-15,NORMAL,81.2128,55.2125,537,254,61,2019-02-10,Plain,Rural,0,60.984
SYN-00255,Synthetic National Highway Project 00255,National Highway,State PWD,Jharkhand,JHA-19,MULTI_FACTOR_DELAY,42.9913,39.9159,254,121,8,2021-04-03,Riverine,Semi-Urban,0,6.336
SYN-00256,Synthetic Urban Infrastructure Project 00256,Urban Infrastructure,NHIDCL,Bihar,BIH-23,NORMAL,24.8947,23.8192,472,335,72,2025-10-20,Plain,Rural,1,42.261
SYN-00257,Synthetic Transmission Project 00257,Transmission,NHIDCL,Assam,ASS-02,NORMAL,5.0,4.1147,72,25,2,2022-11-28,Rolling,Rural,0,38.57
SYN-00258,Synthetic Railway Project 00258,Railway,NHIDCL,Maharashtra,MAH-27,DOCUMENTATION_DELAY,71.8757,43.9339,1043,456,126,2020-05-19,Rolling,Rural,0,35.565
SYN-00259,Synthetic Industrial Corridor Project 00259,Industrial Corridor,State PWD,Maharashtra,MAH-26,NORMAL,79.8712,52.6316,684,160,24,2021-07-29,Hilly,Rural,0,50.691
SYN-00260,Synthetic Railway Project 00260,Railway,State PWD,Maharashtra,MAH-03,DOCUMENTATION_DELAY,21.7925,20.2638,154,117,8,2025-04-01,Hilly,Semi-Urban,0,17.385
SYN-00261,Synthetic Urban Infrastructure Project 00261,Urban Infrastructure,Irrigation Department,Maharashtra,MAH-33,ADMINISTRATIVE_BOTTLENECK,50.5587,31.3766,383,300,31,2023-10-28,Coastal,Rural,0,59.987
SYN-00262,Synthetic Railway Project 00262,Railway,NHIDCL,Madhya Pradesh,MAD-21,NORMAL,18.6116,12.4858,211,153,43,2021-12-11,Riverine,Rural,0,34.313
SYN-00263,Synthetic National Highway Project 00263,National Highway,NHIDCL,Odisha,ODI-32,NORMAL,5.0,3.0219,32,19,1,2019-08-20,Coastal,Rural,0,56.966
SYN-00264,Synthetic National Highway Project 00264,National Highway,NHAI,Assam,ASS-04,DOCUMENTATION_DELAY,11.9004,8.4858,220,106,14,2023-05-14,Plain,Urban,0,78.71
SYN-00265,Synthetic Railway Project 00265,Railway,NHAI,Assam,ASS-37,DOCUMENTATION_DELAY,30.5789,29.9365,484,317,93,2025-12-15,Plain,Semi-Urban,0,45.325
SYN-00266,Synthetic Transmission Project 00266,Transmission,Irrigation Department,Odisha,ODI-25,NORMAL,20.4414,14.1429,115,84,9,2021-05-26,Coastal,Rural,0,19.879
SYN-00267,Synthetic Transmission Project 00267,Transmission,State PWD,West Bengal,WES-37,ADMINISTRATIVE_BOTTLENECK,98.6974,96.6808,1300,1039,154,2023-05-17,Hilly,Rural,0,67.305
SYN-00268,Synthetic National Highway Project 00268,National Highway,Power Utility,Madhya Pradesh,MAD-14,MULTI_FACTOR_DELAY,65.951,52.7202,1023,652,96,2019-06-24,Riverine,Urban,0,53.528
SYN-00269,Synthetic Irrigation Project 00269,Irrigation,NHIDCL,Assam,ASS-13,NORMAL,12.1457,7.3231,119,28,2,2019-04-07,Riverine,Rural,0,28.741
SYN-00270,Synthetic Industrial Corridor Project 00270,Industrial Corridor,NHIDCL,West Bengal,WES-30,NORMAL,5.9105,5.5926,61,21,3,2019-08-18,Coastal,Urban,0,47.329
SYN-00271,Synthetic Railway Project 00271,Railway,Irrigation Department,West Bengal,WES-23,NORMAL,117.7077,86.5159,1239,870,90,2023-10-03,Hilly,Rural,1,41.816
SYN-00272,Synthetic Irrigation Project 00272,Irrigation,NHAI,Madhya Pradesh,MAD-37,NORMAL,13.8087,8.6627,158,115,28,2022-03-26,Coastal,Urban,0,44.33
SYN-00273,Synthetic Irrigation Project 00273,Irrigation,Irrigation Department,Jharkhand,JHA-22,ADMINISTRATIVE_BOTTLENECK,5.0,4.1779,36,27,6,2023-07-30,Coastal,Semi-Urban,0,27.761
SYN-00274,Synthetic Urban Infrastructure Project 00274,Urban Infrastructure,NHAI,Assam,ASS-33,ADMINISTRATIVE_BOTTLENECK,16.6338,15.8853,306,137,37,2021-07-23,Rolling,Rural,0,62.255
SYN-00275,Synthetic Irrigation Project 00275,Irrigation,Irrigation Department,Madhya Pradesh,MAD-21,NORMAL,13.5841,12.2661,251,82,17,2023-09-24,Plain,Semi-Urban,1,31.069
SYN-00276,Synthetic Industrial Corridor Project 00276,Industrial Corridor,Irrigation Department,Assam,ASS-09,MULTI_FACTOR_DELAY,11.3409,8.2412,120,63,7,2023-09-13,Coastal,Semi-Urban,0,8.395
SYN-00277,Synthetic Railway Project 00277,Railway,NHAI,West Bengal,WES-17,NORMAL,33.0862,25.692,546,374,56,2021-05-28,Plain,Urban,0,25.348
SYN-00278,Synthetic Industrial Corridor Project 00278,Industrial Corridor,NHAI,Jharkhand,JHA-38,MULTI_FACTOR_DELAY,23.1303,20.82,348,145,35,2023-12-02,Plain,Rural,1,26.442
SYN-00279,Synthetic Urban Infrastructure Project 00279,Urban Infrastructure,Irrigation Department,Odisha,ODI-09,NORMAL,76.4997,53.7065,1131,689,95,2023-01-12,Riverine,Urban,0,39.38
SYN-00280,Synthetic Industrial Corridor Project 00280,Industrial Corridor,NHIDCL,Jharkhand,JHA-15,ADMINISTRATIVE_BOTTLENECK,19.1662,12.4483,377,273,15,2020-11-10,Riverine,Semi-Urban,0,7.5
SYN-00281,Synthetic Railway Project 00281,Railway,NHIDCL,West Bengal,WES-15,RECOVERY,11.7924,9.0666,75,17,5,2025-12-31,Plain,Urban,0,12.151
